time,open,high,low,close,Volume,Volume MA
2020-12-25T08:00:00+08:00,0.2,3.0885,0.2,2.2954,NaN,NaN
2020-12-26T08:00:00+08:00,2.2958,2.4609,1.5717,1.5967,NaN,NaN
2020-12-27T08:00:00+08:00,1.597,1.6516,1.036,1.0612,NaN,NaN
2020-12-28T08:00:00+08:00,1.06,1.2787,1.0353,1.114,NaN,NaN
2020-12-29T08:00:00+08:00,1.114,1.1166,0.7541,0.8845,NaN,NaN
2020-12-30T08:00:00+08:00,0.8845,1.2574,0.8702,1.0934,NaN,NaN
2020-12-31T08:00:00+08:00,1.0932,1.4033,1.0582,1.3637,NaN,NaN
2021-01-01T08:00:00+08:00,1.3623,1.3974,1.0863,1.155,NaN,NaN
2021-01-02T08:00:00+08:00,1.1521,1.1607,1,1.025,NaN,NaN
2021-01-03T08:00:00+08:00,1.0259,1.1568,0.9456,1.108,NaN,NaN
2021-01-04T08:00:00+08:00,1.108,1.24,0.9666,1.0317,NaN,NaN
2021-01-05T08:00:00+08:00,1.0317,1.38,0.98,1.2501,NaN,NaN
2021-01-06T08:00:00+08:00,1.2502,1.5269,1.1885,1.51,NaN,NaN
2021-01-07T08:00:00+08:00,1.5109,1.615,1.244,1.2925,NaN,NaN
2021-01-08T08:00:00+08:00,1.294,1.3485,1.0111,1.1867,NaN,NaN
2021-01-09T08:00:00+08:00,1.1864,1.2999,1.112,1.2431,NaN,NaN
2021-01-10T08:00:00+08:00,1.2441,1.3871,1.11,1.2058,NaN,NaN
2021-01-11T08:00:00+08:00,1.2032,1.2126,0.9623,1.1243,NaN,NaN
2021-01-12T08:00:00+08:00,1.1262,1.214,1.055,1.1275,NaN,NaN
2021-01-13T08:00:00+08:00,1.1272,1.3345,1.06,1.277,NaN,NaN
2021-01-14T08:00:00+08:00,1.275,1.4026,1.2637,1.3395,NaN,NaN
2021-01-15T08:00:00+08:00,1.3379,1.51,1.1716,1.3516,NaN,NaN
2021-01-16T08:00:00+08:00,1.3488,1.8416,1.3313,1.6319,NaN,NaN
2021-01-17T08:00:00+08:00,1.6316,2.19,1.5844,2.0362,NaN,NaN
2021-01-18T08:00:00+08:00,2.0283,2.0768,1.68,1.8827,NaN,NaN
2021-01-19T08:00:00+08:00,1.8792,2.1,1.7979,1.9005,NaN,NaN
2021-01-20T08:00:00+08:00,1.9043,1.9652,1.6412,1.847,NaN,NaN
2021-01-21T08:00:00+08:00,1.8453,1.8847,1.546,1.569,NaN,NaN
2021-01-22T08:00:00+08:00,1.5733,1.85,1.4113,1.7562,NaN,NaN
2021-01-23T08:00:00+08:00,1.7549,1.998,1.7058,1.9309,NaN,NaN
2021-01-24T08:00:00+08:00,1.9338,2.49,1.8786,2.4743,NaN,NaN
2021-01-25T08:00:00+08:00,2.4707,2.72,2.2933,2.3585,NaN,NaN
2021-01-26T08:00:00+08:00,2.3546,2.69,2.18,2.6881,NaN,NaN
2021-01-27T08:00:00+08:00,2.6898,2.7278,2.2288,2.4955,NaN,NaN
2021-01-28T08:00:00+08:00,2.4985,3.3579,2.425,3.1197,NaN,NaN
2021-01-29T08:00:00+08:00,3.1124,3.4772,2.8416,3.3511,NaN,NaN
2021-01-30T08:00:00+08:00,3.3571,4.7,3.1707,4.586,NaN,NaN
2021-01-31T08:00:00+08:00,4.5861,5.55,4.455,4.9309,NaN,NaN
2021-02-01T08:00:00+08:00,4.9307,5.2729,4.2715,5.0194,NaN,NaN
2021-02-02T08:00:00+08:00,5.0179,5.074,4.56,4.6714,NaN,NaN
2021-02-03T08:00:00+08:00,4.67,5.2657,4.35,5.0363,NaN,NaN
2021-02-04T08:00:00+08:00,5.0357,5.95,4.5818,5.5705,NaN,NaN
2021-02-05T08:00:00+08:00,5.5699,6.33,5.5076,5.825,NaN,NaN
2021-02-06T08:00:00+08:00,5.825,5.94,5.1,5.26,NaN,NaN
2021-02-07T08:00:00+08:00,5.2598,5.3095,4.3001,4.9512,NaN,NaN
2021-02-08T08:00:00+08:00,4.9513,5.4763,4.69,5.3251,NaN,NaN
2021-02-09T08:00:00+08:00,5.3255,5.3484,4.8143,5.067,NaN,NaN
2021-02-10T08:00:00+08:00,5.0648,5.4206,4.4,4.8912,NaN,NaN
2021-02-11T08:00:00+08:00,4.9,5.86,4.673,5.6254,NaN,NaN
2021-02-12T08:00:00+08:00,5.6254,5.8,5.1201,5.2528,NaN,NaN
2021-02-13T08:00:00+08:00,5.2527,6.024,5.1301,5.7,NaN,NaN
2021-02-14T08:00:00+08:00,5.7,6.29,5.1001,5.25,NaN,NaN
2021-02-15T08:00:00+08:00,5.25,5.528,4.205,4.95,NaN,NaN
2021-02-16T08:00:00+08:00,4.9413,5.1836,4.6124,4.7567,NaN,NaN
2021-02-17T08:00:00+08:00,4.7625,5.0699,4.4,4.828,NaN,NaN
2021-02-18T08:00:00+08:00,4.8307,5.1749,4.71,4.7718,NaN,NaN
2021-02-19T08:00:00+08:00,4.7803,4.8697,4.5,4.6031,NaN,NaN
2021-02-20T08:00:00+08:00,4.604,5.8976,4.44,5.1293,NaN,NaN
2021-02-21T08:00:00+08:00,5.1104,5.4783,4.9087,5.0575,NaN,NaN
2021-02-22T08:00:00+08:00,5.0575,5.0706,3.6047,4.5317,NaN,NaN
2021-02-23T08:00:00+08:00,4.5351,4.5759,3,3.6811,NaN,NaN
2021-02-24T08:00:00+08:00,3.6938,4.1635,3.4083,3.6436,NaN,NaN
2021-02-25T08:00:00+08:00,3.6447,4.66,3.51,3.9342,NaN,NaN
2021-02-26T08:00:00+08:00,3.9355,5.1676,3.7764,4.4897,NaN,NaN
2021-02-27T08:00:00+08:00,4.4984,4.865,4.01,4.1598,NaN,NaN
2021-02-28T08:00:00+08:00,4.1492,4.1813,3.5,3.8407,NaN,NaN
2021-03-01T08:00:00+08:00,3.8408,4.2,3.777,4.1194,NaN,NaN
2021-03-02T08:00:00+08:00,4.1194,4.3556,3.81,4.0087,NaN,NaN
2021-03-03T08:00:00+08:00,4.011,4.3177,3.986,4.0648,NaN,NaN
2021-03-04T08:00:00+08:00,4.0685,4.2387,3.7501,3.8366,NaN,NaN
2021-03-05T08:00:00+08:00,3.8367,3.85,3.52,3.7287,NaN,NaN
2021-03-06T08:00:00+08:00,3.7327,3.8647,3.6051,3.8626,NaN,NaN
2021-03-07T08:00:00+08:00,3.8646,4.11,3.7818,3.9827,NaN,NaN
2021-03-08T08:00:00+08:00,3.988,4.4662,3.85,4.3249,NaN,NaN
2021-03-09T08:00:00+08:00,4.3249,4.555,4.2001,4.4366,NaN,NaN
2021-03-10T08:00:00+08:00,4.4365,4.5225,3.93,4.0047,NaN,NaN
2021-03-11T08:00:00+08:00,4.0078,4.14,3.8888,3.9999,NaN,NaN
2021-03-12T08:00:00+08:00,3.9999,4.142,3.68,3.8026,NaN,NaN
2021-03-13T08:00:00+08:00,3.8022,4.2434,3.6302,4.0955,NaN,NaN
2021-03-14T08:00:00+08:00,4.1002,4.22,3.83,3.8322,NaN,NaN
2021-03-15T08:00:00+08:00,3.8358,4.3835,3.72,3.9417,NaN,NaN
2021-03-16T08:00:00+08:00,3.9435,4.6426,3.787,4.5603,NaN,NaN
2021-03-17T08:00:00+08:00,4.5603,5.034,4.2512,5.034,NaN,NaN
2021-03-18T08:00:00+08:00,5.0295,5.0981,4.5445,4.5727,NaN,NaN
2021-03-19T08:00:00+08:00,4.5729,5.2445,4.4555,4.8866,NaN,NaN
2021-03-20T08:00:00+08:00,4.8915,5.1968,4.68,4.7019,NaN,NaN
2021-03-21T08:00:00+08:00,4.7027,4.794,4.487,4.6725,NaN,NaN
2021-03-22T08:00:00+08:00,4.6701,4.8481,4.1885,4.3,NaN,NaN
2021-03-23T08:00:00+08:00,4.3,4.4757,4,4.0854,NaN,NaN
2021-03-24T08:00:00+08:00,4.0854,4.3403,3.5747,3.7154,NaN,NaN
2021-03-25T08:00:00+08:00,3.7112,3.8909,3.567,3.669,NaN,NaN
2021-03-26T08:00:00+08:00,3.6654,4.09,3.6633,4.0015,NaN,NaN
2021-03-27T08:00:00+08:00,4.0015,4.0647,3.7958,3.9929,NaN,NaN
2021-03-28T08:00:00+08:00,3.9917,4.23,3.9377,4.0882,NaN,NaN
2021-03-29T08:00:00+08:00,4.0876,4.6327,4.0245,4.6043,NaN,NaN
2021-03-30T08:00:00+08:00,4.6042,4.6855,4.4285,4.5032,NaN,NaN
2021-03-31T08:00:00+08:00,4.5025,4.5489,4.1095,4.3409,NaN,NaN
2021-04-01T08:00:00+08:00,4.3422,4.5172,4.2542,4.4501,NaN,NaN
2021-04-02T08:00:00+08:00,4.4536,4.6969,4.3841,4.6698,NaN,NaN
2021-04-03T08:00:00+08:00,4.6707,4.7999,4.233,4.2403,NaN,NaN
2021-04-04T08:00:00+08:00,4.2403,4.702,4.1351,4.57,NaN,NaN
2021-04-05T08:00:00+08:00,4.57,5.375,4.4219,5.3133,NaN,NaN
2021-04-06T08:00:00+08:00,5.3108,5.83,5.1319,5.1768,NaN,NaN
2021-04-07T08:00:00+08:00,5.1776,5.948,4.5029,5.568,NaN,NaN
2021-04-08T08:00:00+08:00,5.5726,6.5602,5.4583,6.1887,NaN,NaN
2021-04-09T08:00:00+08:00,6.1887,6.67,5.9309,6.1117,NaN,NaN
2021-04-10T08:00:00+08:00,6.1063,6.1112,5.528,5.7303,NaN,NaN
2021-04-11T08:00:00+08:00,5.7309,6,5.5441,5.6706,NaN,NaN
2021-04-12T08:00:00+08:00,5.6733,5.8313,5.2598,5.4953,NaN,NaN
2021-04-13T08:00:00+08:00,5.4937,5.8073,5.4192,5.6116,NaN,NaN
2021-04-14T08:00:00+08:00,5.6116,6.0149,5.43,5.876,NaN,NaN
2021-04-15T08:00:00+08:00,5.8801,6.4,5.7688,6.0839,NaN,NaN
2021-04-16T08:00:00+08:00,6.0865,6.1424,5.5967,5.8107,NaN,NaN
2021-04-17T08:00:00+08:00,5.8131,6.5333,5.81,6.4639,NaN,NaN
2021-04-18T08:00:00+08:00,6.4575,6.65,4.5,5.2943,NaN,NaN
2021-04-19T08:00:00+08:00,5.2928,5.4598,4.7038,4.8463,NaN,NaN
2021-04-20T08:00:00+08:00,4.8463,5.2122,4.423,5.0184,NaN,NaN
2021-04-21T08:00:00+08:00,5.0157,5.2866,4.8492,5.02,NaN,NaN
2021-04-22T08:00:00+08:00,5.0179,5.3477,4.5234,4.5867,NaN,NaN
2021-04-23T08:00:00+08:00,4.585,4.6912,3.7536,4.2824,NaN,NaN
2021-04-24T08:00:00+08:00,4.2818,4.2834,3.9151,3.9538,NaN,NaN
2021-04-25T08:00:00+08:00,3.9509,4.2499,3.785,3.9961,NaN,NaN
2021-04-26T08:00:00+08:00,3.9969,4.5754,3.9411,4.5488,NaN,NaN
2021-04-27T08:00:00+08:00,4.5488,5.1554,4.4605,5.1137,NaN,NaN
2021-04-28T08:00:00+08:00,5.1134,5.7879,4.7024,5.5507,NaN,NaN
2021-04-29T08:00:00+08:00,5.5515,5.91,5.2161,5.471,NaN,NaN
2021-04-30T08:00:00+08:00,5.4701,5.761,5.3343,5.64,NaN,NaN
2021-05-01T08:00:00+08:00,5.6389,5.7743,5.3344,5.5239,NaN,NaN
2021-05-02T08:00:00+08:00,5.5239,5.5351,5.1278,5.3614,NaN,NaN
2021-05-03T08:00:00+08:00,5.3612,5.95,5.3525,5.8675,NaN,NaN
2021-05-04T08:00:00+08:00,5.869,5.9084,5.2032,5.2422,NaN,NaN
2021-05-05T08:00:00+08:00,5.2431,6.2879,5.1855,5.9842,NaN,NaN
2021-05-06T08:00:00+08:00,5.9869,7.56,5.8699,6.6062,NaN,NaN
2021-05-07T08:00:00+08:00,6.6078,7.1225,6.2973,6.5777,NaN,NaN
2021-05-08T08:00:00+08:00,6.5813,7.8748,6.4688,7.4832,NaN,NaN
2021-05-09T08:00:00+08:00,7.4873,7.5302,6.7212,7.0801,NaN,NaN
2021-05-10T08:00:00+08:00,7.0806,7.1879,5.5342,6.1775,NaN,NaN
2021-05-11T08:00:00+08:00,6.1775,6.5367,5.8,6.535,NaN,NaN
2021-05-12T08:00:00+08:00,6.5338,6.9258,5.4557,5.6127,NaN,NaN
2021-05-13T08:00:00+08:00,5.6098,6.1,5.1574,5.5713,NaN,NaN
2021-05-14T08:00:00+08:00,5.5732,5.9385,5.25,5.7383,NaN,NaN
2021-05-15T08:00:00+08:00,5.741,6.0487,5.2365,5.2564,NaN,NaN
2021-05-16T08:00:00+08:00,5.2563,5.6377,4.65,5.1263,NaN,NaN
2021-05-17T08:00:00+08:00,5.1261,5.1633,4.4307,4.7037,NaN,NaN
2021-05-18T08:00:00+08:00,4.7045,5.4,4.6412,5.2662,NaN,NaN
2021-05-19T08:00:00+08:00,5.268,5.4228,2.6401,3.2102,NaN,NaN
2021-05-20T08:00:00+08:00,3.2128,3.96,2.7369,3.5959,NaN,NaN
2021-05-21T08:00:00+08:00,3.6039,3.8155,2.6418,3.1169,NaN,NaN
2021-05-22T08:00:00+08:00,3.1176,3.2793,2.6335,2.7226,NaN,NaN
2021-05-23T08:00:00+08:00,2.725,2.8838,1.7777,2.3355,NaN,NaN
2021-05-24T08:00:00+08:00,2.3344,3.0106,2.29,2.9475,NaN,NaN
2021-05-25T08:00:00+08:00,2.95,3.1002,2.5314,2.8913,NaN,NaN
2021-05-26T08:00:00+08:00,2.8907,3.5,2.8314,3.4259,NaN,NaN
2021-05-27T08:00:00+08:00,3.4239,3.45,2.9685,3.2803,NaN,NaN
2021-05-28T08:00:00+08:00,3.2836,3.3718,2.6083,2.7571,NaN,NaN
2021-05-29T08:00:00+08:00,2.7573,2.9816,2.4408,2.5678,NaN,NaN
2021-05-30T08:00:00+08:00,2.5698,2.9865,2.4032,2.8861,NaN,NaN
2021-05-31T08:00:00+08:00,2.8835,3.2928,2.7458,3.2055,NaN,NaN
2021-06-01T08:00:00+08:00,3.2071,3.269,2.9881,3.1195,NaN,NaN
2021-06-02T08:00:00+08:00,3.1219,3.5775,3.0402,3.3752,NaN,NaN
2021-06-03T08:00:00+08:00,3.3753,3.5957,3.3241,3.4946,NaN,NaN
2021-06-04T08:00:00+08:00,3.4959,3.72,3.103,3.372,NaN,NaN
2021-06-05T08:00:00+08:00,3.3761,4.0151,3.3376,3.6846,NaN,NaN
2021-06-06T08:00:00+08:00,3.6846,4.1176,3.6356,3.9098,NaN,NaN
2021-06-07T08:00:00+08:00,3.9098,3.9153,3.3437,3.4055,NaN,NaN
2021-06-08T08:00:00+08:00,3.4031,3.461,2.845,3.0961,NaN,NaN
2021-06-09T08:00:00+08:00,3.0929,3.2391,2.8758,3.1915,NaN,NaN
2021-06-10T08:00:00+08:00,3.1915,3.26,2.8455,3.0122,NaN,NaN
2021-06-11T08:00:00+08:00,3.0136,3.077,2.6621,2.7426,NaN,NaN
2021-06-12T08:00:00+08:00,2.7404,2.8813,2.5172,2.7253,NaN,NaN
2021-06-13T08:00:00+08:00,2.7268,3.048,2.6167,3.0067,NaN,NaN
2021-06-14T08:00:00+08:00,3.0021,3.885,2.92,3.685,NaN,NaN
2021-06-15T08:00:00+08:00,3.6895,3.8005,3.523,3.7449,NaN,NaN
2021-06-16T08:00:00+08:00,3.7447,3.9499,3.546,3.5968,NaN,NaN
2021-06-17T08:00:00+08:00,3.5952,3.739,3.2886,3.4118,NaN,NaN
2021-06-18T08:00:00+08:00,3.4116,3.4237,3.0315,3.164,NaN,NaN
2021-06-19T08:00:00+08:00,3.1645,3.2088,3.0048,3.0149,NaN,NaN
