time,open,high,low,close,Volume,Volume MA
2023-06-23T04:30:00+08:00,0.3059,0.3073,0.3058,0.3071,NaN,NaN
2023-06-23T05:00:00+08:00,0.307,0.3075,0.3061,0.3062,NaN,NaN
2023-06-23T05:30:00+08:00,0.3062,0.3072,0.306,0.3072,NaN,NaN
2023-06-23T06:00:00+08:00,0.3072,0.3075,0.3063,0.3065,NaN,NaN
2023-06-23T06:30:00+08:00,0.3065,0.3072,0.3047,0.305,NaN,NaN
2023-06-23T07:00:00+08:00,0.3049,0.305,0.3038,0.3045,NaN,NaN
2023-06-23T07:30:00+08:00,0.3045,0.3051,0.3038,0.3041,NaN,NaN
2023-06-23T08:00:00+08:00,0.3041,0.3067,0.304,0.3063,NaN,NaN
2023-06-23T08:30:00+08:00,0.3063,0.3073,0.3058,0.3072,NaN,NaN
2023-06-23T09:00:00+08:00,0.307,0.3083,0.3062,0.3074,NaN,NaN
2023-06-23T09:30:00+08:00,0.3073,0.3075,0.3056,0.3057,NaN,NaN
2023-06-23T10:00:00+08:00,0.3057,0.3065,0.3043,0.3063,NaN,NaN
2023-06-23T10:30:00+08:00,0.3064,0.3065,0.306,0.3065,NaN,NaN
2023-06-23T11:00:00+08:00,0.3065,0.3065,0.3054,0.3057,NaN,NaN
2023-06-23T11:30:00+08:00,0.3059,0.3059,0.3052,0.3056,NaN,NaN
2023-06-23T12:00:00+08:00,0.3056,0.3066,0.3056,0.3063,NaN,NaN
2023-06-23T12:30:00+08:00,0.3064,0.3074,0.3062,0.3068,NaN,NaN
2023-06-23T13:00:00+08:00,0.307,0.3073,0.3062,0.3073,NaN,NaN
2023-06-23T13:30:00+08:00,0.3073,0.3081,0.3073,0.3078,NaN,NaN
2023-06-23T14:00:00+08:00,0.3079,0.3092,0.3079,0.3087,NaN,NaN
2023-06-23T14:30:00+08:00,0.3087,0.3093,0.307,0.3075,NaN,NaN
2023-06-23T15:00:00+08:00,0.3075,0.3075,0.3059,0.3067,NaN,NaN
2023-06-23T15:30:00+08:00,0.3067,0.3083,0.3067,0.3082,NaN,NaN
2023-06-23T16:00:00+08:00,0.3083,0.3083,0.307,0.3083,NaN,NaN
2023-06-23T16:30:00+08:00,0.3083,0.3091,0.308,0.3086,NaN,NaN
2023-06-23T17:00:00+08:00,0.3085,0.3089,0.3074,0.3078,NaN,NaN
2023-06-23T17:30:00+08:00,0.3079,0.3095,0.3067,0.3091,NaN,NaN
2023-06-23T18:00:00+08:00,0.3093,0.3093,0.3069,0.3076,NaN,NaN
2023-06-23T18:30:00+08:00,0.3077,0.3085,0.3075,0.3084,NaN,NaN
2023-06-23T19:00:00+08:00,0.3083,0.3094,0.3081,0.3094,NaN,NaN
2023-06-23T19:30:00+08:00,0.3095,0.3114,0.3095,0.3113,NaN,NaN
2023-06-23T20:00:00+08:00,0.3111,0.3117,0.3091,0.3094,NaN,NaN
2023-06-23T20:30:00+08:00,0.3094,0.3097,0.3075,0.3092,NaN,NaN
2023-06-23T21:00:00+08:00,0.3092,0.3103,0.3085,0.309,NaN,NaN
2023-06-23T21:30:00+08:00,0.3092,0.3093,0.3053,0.3085,NaN,NaN
2023-06-23T22:00:00+08:00,0.3083,0.3122,0.3069,0.3117,NaN,NaN
2023-06-23T22:30:00+08:00,0.3115,0.3143,0.3107,0.3141,NaN,NaN
2023-06-23T23:00:00+08:00,0.3141,0.3172,0.3132,0.3139,NaN,NaN
2023-06-23T23:30:00+08:00,0.3143,0.318,0.3142,0.3175,NaN,NaN
2023-06-24T00:00:00+08:00,0.3175,0.3211,0.3166,0.3194,NaN,NaN
2023-06-24T00:30:00+08:00,0.3197,0.3216,0.3178,0.3203,NaN,NaN
2023-06-24T01:00:00+08:00,0.3205,0.3219,0.3197,0.3214,NaN,NaN
2023-06-24T01:30:00+08:00,0.3216,0.3249,0.3209,0.3244,NaN,NaN
2023-06-24T02:00:00+08:00,0.3243,0.3258,0.323,0.3238,NaN,NaN
2023-06-24T02:30:00+08:00,0.3237,0.3241,0.3213,0.3226,NaN,NaN
2023-06-24T03:00:00+08:00,0.3226,0.3239,0.3224,0.3227,NaN,NaN
2023-06-24T03:30:00+08:00,0.3228,0.3238,0.3202,0.322,NaN,NaN
2023-06-24T04:00:00+08:00,0.322,0.323,0.3211,0.3222,NaN,NaN
2023-06-24T04:30:00+08:00,0.3222,0.3236,0.3218,0.3224,NaN,NaN
2023-06-24T05:00:00+08:00,0.3224,0.323,0.3214,0.322,NaN,NaN
2023-06-24T05:30:00+08:00,0.3222,0.3222,0.3174,0.3179,NaN,NaN
2023-06-24T06:00:00+08:00,0.3178,0.3182,0.316,0.3171,NaN,NaN
2023-06-24T06:30:00+08:00,0.3172,0.3189,0.317,0.3188,NaN,NaN
2023-06-24T07:00:00+08:00,0.3189,0.319,0.3172,0.3172,NaN,NaN
2023-06-24T07:30:00+08:00,0.3174,0.3184,0.3158,0.3184,NaN,NaN
2023-06-24T08:00:00+08:00,0.3183,0.3195,0.3161,0.3193,NaN,NaN
2023-06-24T08:30:00+08:00,0.3193,0.3202,0.3172,0.318,NaN,NaN
2023-06-24T09:00:00+08:00,0.3178,0.3188,0.317,0.3176,NaN,NaN
2023-06-24T09:30:00+08:00,0.3178,0.3183,0.3165,0.3183,NaN,NaN
2023-06-24T10:00:00+08:00,0.3186,0.3202,0.3186,0.3196,NaN,NaN
2023-06-24T10:30:00+08:00,0.3199,0.3207,0.3197,0.3206,NaN,NaN
2023-06-24T11:00:00+08:00,0.3205,0.3208,0.32,0.3206,NaN,NaN
2023-06-24T11:30:00+08:00,0.3207,0.3217,0.3206,0.3211,NaN,NaN
2023-06-24T12:00:00+08:00,0.3211,0.3246,0.3205,0.3241,NaN,NaN
2023-06-24T12:30:00+08:00,0.324,0.3245,0.3234,0.3244,NaN,NaN
2023-06-24T13:00:00+08:00,0.3244,0.3265,0.324,0.3258,NaN,NaN
2023-06-24T13:30:00+08:00,0.3258,0.326,0.3233,0.3236,NaN,NaN
2023-06-24T14:00:00+08:00,0.3236,0.3236,0.3212,0.3224,NaN,NaN
2023-06-24T14:30:00+08:00,0.3224,0.3229,0.3215,0.3219,NaN,NaN
2023-06-24T15:00:00+08:00,0.3218,0.3226,0.3203,0.3225,NaN,NaN
2023-06-24T15:30:00+08:00,0.3226,0.3247,0.3205,0.3246,NaN,NaN
2023-06-24T16:00:00+08:00,0.3247,0.3266,0.3229,0.3266,NaN,NaN
2023-06-24T16:30:00+08:00,0.3266,0.3266,0.3235,0.325,NaN,NaN
2023-06-24T17:00:00+08:00,0.3252,0.3277,0.3252,0.3258,NaN,NaN
