time,open,high,low,close,Volume,Volume MA
2023-07-21T23:00:00+08:00,4.98,5,4.98,5,NaN,NaN
2023-07-21T23:05:00+08:00,5,5.01,5,5,NaN,NaN
2023-07-21T23:10:00+08:00,5.01,5.1,5.01,5.1,NaN,NaN
2023-07-21T23:15:00+08:00,5.1,5.11,5.03,5.04,NaN,NaN
2023-07-21T23:20:00+08:00,5.03,5.05,5.02,5.05,NaN,NaN
2023-07-21T23:25:00+08:00,5.05,5.05,5.03,5.04,NaN,NaN
2023-07-21T23:30:00+08:00,5.04,5.04,5.02,5.03,NaN,NaN
2023-07-21T23:35:00+08:00,5.03,5.03,5,5.02,NaN,NaN
2023-07-21T23:40:00+08:00,5.03,5.03,5.01,5.02,NaN,NaN
2023-07-21T23:45:00+08:00,5.01,5.02,5.01,5.02,NaN,NaN
2023-07-21T23:50:00+08:00,5.01,5.02,5.01,5.02,NaN,NaN
2023-07-21T23:55:00+08:00,5.02,5.02,5.01,5.02,NaN,NaN
2023-07-22T00:00:00+08:00,5.02,5.02,5,5.01,NaN,NaN
2023-07-22T00:05:00+08:00,5,5,4.98,4.99,NaN,NaN
2023-07-22T00:10:00+08:00,4.99,5,4.98,4.99,NaN,NaN
2023-07-22T00:15:00+08:00,5,5.04,5,5.03,NaN,NaN
2023-07-22T00:20:00+08:00,5.03,5.06,5.03,5.06,NaN,NaN
2023-07-22T00:25:00+08:00,5.06,5.07,5.05,5.06,NaN,NaN
2023-07-22T00:30:00+08:00,5.06,5.07,5.05,5.07,NaN,NaN
2023-07-22T00:35:00+08:00,5.08,5.1,5.07,5.08,NaN,NaN
2023-07-22T00:40:00+08:00,5.09,5.11,5.09,5.11,NaN,NaN
2023-07-22T00:45:00+08:00,5.11,5.15,5.1,5.1,NaN,NaN
2023-07-22T00:50:00+08:00,5.09,5.11,5.06,5.06,NaN,NaN
2023-07-22T00:55:00+08:00,5.07,5.09,5.07,5.07,NaN,NaN
2023-07-22T01:00:00+08:00,5.07,5.14,5.06,5.14,NaN,NaN
2023-07-22T01:05:00+08:00,5.15,5.16,5.11,5.11,NaN,NaN
2023-07-22T01:10:00+08:00,5.11,5.13,5.11,5.13,NaN,NaN
2023-07-22T01:15:00+08:00,5.13,5.24,5.13,5.23,NaN,NaN
2023-07-22T01:20:00+08:00,5.22,5.25,5.17,5.17,NaN,NaN
2023-07-22T01:25:00+08:00,5.17,5.19,5.17,5.18,NaN,NaN
2023-07-22T01:30:00+08:00,5.17,5.17,5.1,5.12,NaN,NaN
2023-07-22T01:35:00+08:00,5.12,5.13,5.11,5.11,NaN,NaN
2023-07-22T01:40:00+08:00,5.12,5.13,5.1,5.11,NaN,NaN
2023-07-22T01:45:00+08:00,5.11,5.11,5.09,5.09,NaN,NaN
2023-07-22T01:50:00+08:00,5.09,5.09,5.09,5.09,NaN,NaN
2023-07-22T01:55:00+08:00,5.08,5.09,5.07,5.08,NaN,NaN
2023-07-22T02:00:00+08:00,5.07,5.11,5.06,5.11,NaN,NaN
2023-07-22T02:05:00+08:00,5.11,5.11,5.08,5.08,NaN,NaN
2023-07-22T02:10:00+08:00,5.08,5.1,5.08,5.09,NaN,NaN
2023-07-22T02:15:00+08:00,5.11,5.11,5.09,5.1,NaN,NaN
2023-07-22T02:20:00+08:00,5.11,5.11,5.1,5.11,NaN,NaN
2023-07-22T02:25:00+08:00,5.11,5.11,5.1,5.11,NaN,NaN
2023-07-22T02:30:00+08:00,5.11,5.12,5.11,5.11,NaN,NaN
2023-07-22T02:35:00+08:00,5.11,5.16,5.1,5.13,NaN,NaN
2023-07-22T02:40:00+08:00,5.12,5.13,5.11,5.12,NaN,NaN
2023-07-22T02:45:00+08:00,5.12,5.12,5.1,5.11,NaN,NaN
2023-07-22T02:50:00+08:00,5.1,5.11,5.1,5.1,NaN,NaN
2023-07-22T02:55:00+08:00,5.09,5.1,5.08,5.08,NaN,NaN
2023-07-22T03:00:00+08:00,5.08,5.1,5.08,5.09,NaN,NaN
2023-07-22T03:05:00+08:00,5.08,5.09,5.07,5.08,NaN,NaN
2023-07-22T03:10:00+08:00,5.06,5.07,5.05,5.07,NaN,NaN
2023-07-22T03:15:00+08:00,5.07,5.07,5.07,5.07,NaN,NaN
