time,open,high,low,close,Volume,Volume MA
2023-07-21T18:55:00+08:00,2.893,2.893,2.885,2.886,NaN,NaN
2023-07-21T19:05:00+08:00,2.887,2.887,2.885,2.885,NaN,NaN
2023-07-21T19:10:00+08:00,2.889,2.895,2.889,2.891,NaN,NaN
2023-07-21T19:20:00+08:00,2.888,2.888,2.884,2.887,NaN,NaN
2023-07-21T19:25:00+08:00,2.887,2.887,2.88,2.885,NaN,NaN
2023-07-21T19:30:00+08:00,2.887,2.887,2.887,2.887,NaN,NaN
2023-07-21T19:35:00+08:00,2.889,2.891,2.885,2.885,NaN,NaN
2023-07-21T19:40:00+08:00,2.885,2.885,2.883,2.883,NaN,NaN
2023-07-21T19:45:00+08:00,2.884,2.889,2.884,2.889,NaN,NaN
2023-07-21T19:50:00+08:00,2.889,2.892,2.889,2.892,NaN,NaN
2023-07-21T19:55:00+08:00,2.889,2.889,2.885,2.885,NaN,NaN
2023-07-21T20:00:00+08:00,2.89,2.901,2.888,2.901,NaN,NaN
2023-07-21T20:05:00+08:00,2.901,2.903,2.898,2.899,NaN,NaN
2023-07-21T20:10:00+08:00,2.898,2.898,2.895,2.896,NaN,NaN
2023-07-21T20:20:00+08:00,2.896,2.898,2.895,2.895,NaN,NaN
2023-07-21T20:25:00+08:00,2.89,2.892,2.889,2.892,NaN,NaN
2023-07-21T20:30:00+08:00,2.895,2.899,2.895,2.899,NaN,NaN
2023-07-21T20:35:00+08:00,2.895,2.898,2.895,2.898,NaN,NaN
2023-07-21T20:40:00+08:00,2.896,2.896,2.893,2.893,NaN,NaN
2023-07-21T20:45:00+08:00,2.894,2.894,2.894,2.894,NaN,NaN
2023-07-21T20:50:00+08:00,2.894,2.894,2.894,2.894,NaN,NaN
2023-07-21T20:55:00+08:00,2.892,2.892,2.892,2.892,NaN,NaN
2023-07-21T21:00:00+08:00,2.891,2.893,2.89,2.893,NaN,NaN
2023-07-21T21:05:00+08:00,2.893,2.893,2.888,2.888,NaN,NaN
2023-07-21T21:10:00+08:00,2.889,2.889,2.886,2.886,NaN,NaN
2023-07-21T21:15:00+08:00,2.885,2.895,2.885,2.892,NaN,NaN
2023-07-21T21:20:00+08:00,2.89,2.895,2.887,2.889,NaN,NaN
2023-07-21T21:25:00+08:00,2.887,2.889,2.885,2.885,NaN,NaN
2023-07-21T21:30:00+08:00,2.886,2.889,2.886,2.889,NaN,NaN
2023-07-21T21:35:00+08:00,2.888,2.897,2.887,2.895,NaN,NaN
2023-07-21T21:40:00+08:00,2.891,2.893,2.886,2.891,NaN,NaN
2023-07-21T21:45:00+08:00,2.894,2.894,2.886,2.887,NaN,NaN
2023-07-21T21:50:00+08:00,2.887,2.891,2.886,2.886,NaN,NaN
2023-07-21T21:55:00+08:00,2.887,2.89,2.886,2.89,NaN,NaN
2023-07-21T22:00:00+08:00,2.886,2.886,2.882,2.882,NaN,NaN
2023-07-21T22:10:00+08:00,2.884,2.888,2.882,2.888,NaN,NaN
2023-07-21T22:15:00+08:00,2.889,2.918,2.889,2.912,NaN,NaN
2023-07-21T22:20:00+08:00,2.912,2.921,2.908,2.921,NaN,NaN
2023-07-21T22:25:00+08:00,2.913,2.913,2.905,2.913,NaN,NaN
2023-07-21T22:30:00+08:00,2.912,2.912,2.909,2.91,NaN,NaN
2023-07-21T22:35:00+08:00,2.91,2.915,2.91,2.912,NaN,NaN
2023-07-21T22:40:00+08:00,2.917,2.928,2.917,2.925,NaN,NaN
2023-07-21T22:45:00+08:00,2.925,2.925,2.92,2.92,NaN,NaN
2023-07-21T22:50:00+08:00,2.92,2.92,2.907,2.907,NaN,NaN
2023-07-21T22:55:00+08:00,2.908,2.908,2.908,2.908,NaN,NaN
2023-07-21T23:00:00+08:00,2.908,2.913,2.902,2.902,NaN,NaN
2023-07-21T23:05:00+08:00,2.899,2.9,2.89,2.898,NaN,NaN
2023-07-21T23:10:00+08:00,2.895,2.896,2.891,2.891,NaN,NaN
2023-07-21T23:15:00+08:00,2.895,2.898,2.895,2.895,NaN,NaN
2023-07-21T23:20:00+08:00,2.895,2.895,2.89,2.895,NaN,NaN
2023-07-21T23:25:00+08:00,2.894,2.896,2.892,2.896,NaN,NaN
2023-07-21T23:30:00+08:00,2.896,2.896,2.896,2.896,NaN,NaN
2023-07-21T23:35:00+08:00,2.896,2.898,2.896,2.898,NaN,NaN
