time,open,high,low,close,Volume,Volume MA
2023-06-23T08:00:00+08:00,85.94,86.91,85.94,86.66,NaN,NaN
2023-06-23T08:30:00+08:00,86.66,87,86.66,86.72,NaN,NaN
2023-06-23T09:00:00+08:00,86.71,86.99,86.52,86.66,NaN,NaN
2023-06-23T09:30:00+08:00,86.66,86.69,85.96,85.96,NaN,NaN
2023-06-23T10:00:00+08:00,85.96,86.2,85.53,86.19,NaN,NaN
2023-06-23T10:30:00+08:00,86.2,86.31,86.04,86.15,NaN,NaN
2023-06-23T11:00:00+08:00,86.15,86.24,85.99,86.2,NaN,NaN
2023-06-23T11:30:00+08:00,86.2,86.44,86.19,86.32,NaN,NaN
2023-06-23T12:00:00+08:00,86.31,86.5,86.15,86.21,NaN,NaN
2023-06-23T12:30:00+08:00,86.22,86.6,86.22,86.36,NaN,NaN
2023-06-23T13:00:00+08:00,86.38,86.68,86.33,86.62,NaN,NaN
2023-06-23T13:30:00+08:00,86.63,86.74,86.53,86.73,NaN,NaN
2023-06-23T14:00:00+08:00,86.73,86.78,86.39,86.7,NaN,NaN
2023-06-23T14:30:00+08:00,86.7,86.84,86.48,86.66,NaN,NaN
2023-06-23T15:00:00+08:00,86.66,86.67,86.09,86.21,NaN,NaN
2023-06-23T15:30:00+08:00,86.22,86.47,86.22,86.44,NaN,NaN
2023-06-23T16:00:00+08:00,86.43,86.58,86.24,86.57,NaN,NaN
2023-06-23T16:30:00+08:00,86.58,86.89,86.49,86.82,NaN,NaN
2023-06-23T17:00:00+08:00,86.82,87.97,86.61,86.67,NaN,NaN
2023-06-23T17:30:00+08:00,86.68,86.92,86.05,86.86,NaN,NaN
2023-06-23T18:00:00+08:00,86.85,86.88,85.9,86.18,NaN,NaN
2023-06-23T18:30:00+08:00,86.19,86.56,86.09,86.42,NaN,NaN
2023-06-23T19:00:00+08:00,86.43,86.62,86.36,86.4,NaN,NaN
2023-06-23T19:30:00+08:00,86.41,86.54,86.26,86.36,NaN,NaN
2023-06-23T20:00:00+08:00,86.36,86.65,85.83,85.98,NaN,NaN
2023-06-23T20:30:00+08:00,85.98,86.08,85.37,85.89,NaN,NaN
2023-06-23T21:00:00+08:00,85.89,86.15,85.75,85.86,NaN,NaN
2023-06-23T21:30:00+08:00,85.87,85.9,85.02,85.71,NaN,NaN
2023-06-23T22:00:00+08:00,85.7,85.99,85.44,85.88,NaN,NaN
2023-06-23T22:30:00+08:00,85.88,86.59,85.7,86.45,NaN,NaN
2023-06-23T23:00:00+08:00,86.46,87.44,86.41,86.88,NaN,NaN
2023-06-23T23:30:00+08:00,86.89,89.17,86.79,88.64,NaN,NaN
2023-06-24T00:00:00+08:00,88.64,90.46,87.82,88.68,NaN,NaN
2023-06-24T00:30:00+08:00,88.69,91.19,88.49,89.79,NaN,NaN
2023-06-24T01:00:00+08:00,89.79,90.13,89.55,89.83,NaN,NaN
2023-06-24T01:30:00+08:00,89.82,91.3,89.41,91.01,NaN,NaN
2023-06-24T02:00:00+08:00,91.02,93.12,90.95,91.17,NaN,NaN
2023-06-24T02:30:00+08:00,91.17,91.5,90.53,91.38,NaN,NaN
2023-06-24T03:00:00+08:00,91.38,91.63,91.12,91.33,NaN,NaN
2023-06-24T03:30:00+08:00,91.32,91.82,90.42,91.8,NaN,NaN
2023-06-24T04:00:00+08:00,91.8,91.97,91.51,91.59,NaN,NaN
2023-06-24T04:30:00+08:00,91.59,92,91.48,91.86,NaN,NaN
2023-06-24T05:00:00+08:00,91.87,92.42,91.64,92.07,NaN,NaN
2023-06-24T05:30:00+08:00,92.06,92.22,90.23,90.78,NaN,NaN
2023-06-24T06:00:00+08:00,90.78,90.81,89.83,90.45,NaN,NaN
2023-06-24T06:30:00+08:00,90.44,90.86,90.44,90.84,NaN,NaN
2023-06-24T07:00:00+08:00,90.85,91.69,90.85,91.12,NaN,NaN
2023-06-24T07:30:00+08:00,91.12,91.36,90.71,91.26,NaN,NaN
2023-06-24T08:00:00+08:00,91.28,91.37,90.46,90.54,NaN,NaN
2023-06-24T08:30:00+08:00,90.53,90.76,89.12,89.72,NaN,NaN
2023-06-24T09:00:00+08:00,89.73,90.41,89.65,89.89,NaN,NaN
2023-06-24T09:30:00+08:00,89.89,90.79,89.68,90.68,NaN,NaN
2023-06-24T10:00:00+08:00,90.68,90.86,90.39,90.58,NaN,NaN
2023-06-24T10:30:00+08:00,90.57,91.6,90.57,91.45,NaN,NaN
2023-06-24T11:00:00+08:00,91.45,93.8,91.08,92.97,NaN,NaN
2023-06-24T11:30:00+08:00,92.97,93.25,92,92.04,NaN,NaN
2023-06-24T12:00:00+08:00,92.05,92.53,91.76,92.1,NaN,NaN
2023-06-24T12:30:00+08:00,92.1,92.49,91.99,92.14,NaN,NaN
2023-06-24T13:00:00+08:00,92.14,92.67,91.82,92.58,NaN,NaN
2023-06-24T13:30:00+08:00,92.58,92.63,92.26,92.39,NaN,NaN
2023-06-24T14:00:00+08:00,92.38,92.39,91.68,91.98,NaN,NaN
2023-06-24T14:30:00+08:00,91.98,92.19,91.82,92.06,NaN,NaN
2023-06-24T15:00:00+08:00,92.05,92.06,91.42,91.62,NaN,NaN
2023-06-24T15:30:00+08:00,91.63,91.66,90.71,90.85,NaN,NaN
2023-06-24T16:00:00+08:00,90.84,91.54,90.82,90.95,NaN,NaN
2023-06-24T16:30:00+08:00,90.95,91.1,90.64,90.97,NaN,NaN
2023-06-24T17:00:00+08:00,90.97,91.16,90.81,91.14,NaN,NaN
2023-06-24T17:30:00+08:00,91.13,91.3,90.99,91.25,NaN,NaN
2023-06-24T18:00:00+08:00,91.25,91.46,91.21,91.42,NaN,NaN
2023-06-24T18:30:00+08:00,91.42,91.43,91.21,91.33,NaN,NaN
2023-06-24T19:00:00+08:00,91.31,91.32,90.43,90.75,NaN,NaN
2023-06-24T19:30:00+08:00,90.75,90.95,90.72,90.76,NaN,NaN
2023-06-24T20:00:00+08:00,90.76,91.39,90.73,91.3,NaN,NaN
2023-06-24T20:30:00+08:00,91.31,91.42,90.91,90.99,NaN,NaN
2023-06-24T21:00:00+08:00,90.98,91.28,90.03,90.44,NaN,NaN
2023-06-24T21:30:00+08:00,90.44,90.82,90.17,90.56,NaN,NaN
2023-06-24T22:00:00+08:00,90.55,90.77,90.36,90.65,NaN,NaN
2023-06-24T22:30:00+08:00,90.65,91.01,90.47,90.76,NaN,NaN
2023-06-24T23:00:00+08:00,90.76,90.82,89.09,89.24,NaN,NaN
2023-06-24T23:30:00+08:00,89.23,89.26,86.8,87.51,NaN,NaN
2023-06-25T00:00:00+08:00,87.51,88.07,86.35,87.78,NaN,NaN
2023-06-25T00:30:00+08:00,87.78,88.3,87.7,88.25,NaN,NaN
2023-06-25T01:00:00+08:00,88.25,88.77,88.07,88.57,NaN,NaN
2023-06-25T01:30:00+08:00,88.57,88.76,88.23,88.7,NaN,NaN
2023-06-25T02:00:00+08:00,88.7,89.24,88.59,89.11,NaN,NaN
2023-06-25T02:30:00+08:00,89.11,89.29,88.89,89.28,NaN,NaN
2023-06-25T03:00:00+08:00,89.27,89.55,89.18,89.37,NaN,NaN
2023-06-25T03:30:00+08:00,89.36,89.37,88.89,89.13,NaN,NaN
2023-06-25T04:00:00+08:00,89.13,89.13,88.72,88.91,NaN,NaN
2023-06-25T04:30:00+08:00,88.91,89,88.38,88.78,NaN,NaN
2023-06-25T05:00:00+08:00,88.77,88.82,88.19,88.7,NaN,NaN
2023-06-25T05:30:00+08:00,88.69,89.04,88.48,88.55,NaN,NaN
2023-06-25T06:00:00+08:00,88.56,88.8,88.49,88.65,NaN,NaN
2023-06-25T06:30:00+08:00,88.65,88.68,88.37,88.63,NaN,NaN
2023-06-25T07:00:00+08:00,88.63,89.5,88.62,89.41,NaN,NaN
2023-06-25T07:30:00+08:00,89.41,89.87,89.3,89.71,NaN,NaN
2023-06-25T08:00:00+08:00,89.72,90.06,89.17,89.34,NaN,NaN
2023-06-25T08:30:00+08:00,89.34,89.36,88.86,89.23,NaN,NaN
2023-06-25T09:00:00+08:00,89.22,89.68,88.78,89.68,NaN,NaN
2023-06-25T09:30:00+08:00,89.67,89.67,89.32,89.35,NaN,NaN
2023-06-25T10:00:00+08:00,89.34,89.54,89.24,89.39,NaN,NaN
2023-06-25T10:30:00+08:00,89.38,89.79,89.32,89.33,NaN,NaN
2023-06-25T11:00:00+08:00,89.34,89.66,89.34,89.51,NaN,NaN
2023-06-25T11:30:00+08:00,89.5,90.08,89.38,89.99,NaN,NaN
2023-06-25T12:00:00+08:00,89.99,90.1,89.83,90.06,NaN,NaN
2023-06-25T12:30:00+08:00,90.06,90.31,89.7,89.8,NaN,NaN
2023-06-25T13:00:00+08:00,89.8,89.93,89.38,89.84,NaN,NaN
2023-06-25T13:30:00+08:00,89.84,90.21,89.72,90.11,NaN,NaN
2023-06-25T14:00:00+08:00,90.11,90.46,89.5,90.37,NaN,NaN
2023-06-25T14:30:00+08:00,90.35,90.43,89.45,89.53,NaN,NaN
2023-06-25T15:00:00+08:00,89.53,89.57,88.8,89.09,NaN,NaN
2023-06-25T15:30:00+08:00,89.09,89.19,88.74,89.06,NaN,NaN
2023-06-25T16:00:00+08:00,89.05,89.1,88.39,89.03,NaN,NaN
2023-06-25T16:30:00+08:00,89.02,89.36,88.72,89.08,NaN,NaN
2023-06-25T17:00:00+08:00,89.08,89.14,87.99,88.22,NaN,NaN
2023-06-25T17:30:00+08:00,88.23,88.76,88.03,88.64,NaN,NaN
2023-06-25T18:00:00+08:00,88.65,88.77,88.4,88.54,NaN,NaN
2023-06-25T18:30:00+08:00,88.53,88.96,88.33,88.56,NaN,NaN
2023-06-25T19:00:00+08:00,88.57,88.78,88.38,88.71,NaN,NaN
2023-06-25T19:30:00+08:00,88.7,89.01,88.55,89,NaN,NaN
2023-06-25T20:00:00+08:00,89,89.07,88.64,88.77,NaN,NaN
2023-06-25T20:30:00+08:00,88.77,88.84,88.48,88.73,NaN,NaN
2023-06-25T21:00:00+08:00,88.73,88.84,87.52,87.83,NaN,NaN
2023-06-25T21:30:00+08:00,87.83,88.23,87.1,88.02,NaN,NaN
2023-06-25T22:00:00+08:00,88.02,88.25,87.78,88.15,NaN,NaN
2023-06-25T22:30:00+08:00,88.14,88.3,87.33,87.46,NaN,NaN
2023-06-25T23:00:00+08:00,87.45,88.07,87.04,87.89,NaN,NaN
