time,open,high,low,close,Volume,Volume MA
1658534400,40.54,41.91,38.6,39.97,NaN,NaN
1658620800,39.97,42.1,39.47,40.93,NaN,NaN
1658707200,40.93,41.09,36.56,36.65,NaN,NaN
1658793600,36.66,36.84,34.67,36.25,NaN,NaN
1658880000,36.26,40.55,35.68,40.23,NaN,NaN
1658966400,40.23,44.15,39.03,42.91,NaN,NaN
1659052800,42.92,44.42,41.13,41.91,NaN,NaN
1659139200,41.92,46.65,41.41,43.84,NaN,NaN
1659225600,43.84,45.21,42.22,42.35,NaN,NaN
1659312000,42.34,43.26,40.57,41.65,NaN,NaN
1659398400,41.65,42.45,39.5,39.79,NaN,NaN
1659484800,39.78,40.99,37.43,38.54,NaN,NaN
1659571200,38.54,39.85,37.96,38.83,NaN,NaN
1659657600,38.83,41.33,38.71,40.55,NaN,NaN
1659744000,40.55,40.89,39.85,40.07,NaN,NaN
1659830400,40.07,41.57,39.21,40.6,NaN,NaN
1659916800,40.6,43.71,40.55,42.18,NaN,NaN
1660003200,42.17,42.76,39.73,40.33,NaN,NaN
1660089600,40.34,42.87,39.15,42.47,NaN,NaN
1660176000,42.47,45.32,42.34,42.77,NaN,NaN
1660262400,42.78,45.49,42.12,45.48,NaN,NaN
1660348800,45.49,48.38,45.27,46.6,NaN,NaN
1660435200,46.59,48.06,44.46,44.87,NaN,NaN
1660521600,44.86,47.24,42.75,43.72,NaN,NaN
1660608000,43.72,44.31,42.53,43.08,NaN,NaN
1660694400,43.08,44.75,40.18,40.54,NaN,NaN
1660780800,40.54,41.67,39.31,39.52,NaN,NaN
1660867200,39.51,39.59,35.25,35.81,NaN,NaN
1660953600,35.82,37.27,34.21,35.28,NaN,NaN
1661040000,35.28,37.09,34.51,36.47,NaN,NaN
1661126400,36.48,36.56,33.73,35.41,NaN,NaN
1661212800,35.42,36.11,34.24,35.68,NaN,NaN
1661299200,35.69,36.4,34.31,34.89,NaN,NaN
1661385600,34.9,36.49,34.87,35.27,NaN,NaN
1661472000,35.26,35.79,31.36,31.72,NaN,NaN
1661558400,31.72,32.25,30.86,31.53,NaN,NaN
1661644800,31.53,32.21,30.19,30.44,NaN,NaN
1661731200,30.43,32.64,30,32.42,NaN,NaN
1661817600,32.42,33.16,30.64,31.47,NaN,NaN
1661904000,31.47,32.95,31.18,31.5,NaN,NaN
1661990400,31.49,31.79,30.44,31.61,NaN,NaN
1662076800,31.61,32.38,30.76,31.23,NaN,NaN
1662163200,31.23,31.29,30.8,31.12,NaN,NaN
1662249600,31.11,32.2,31.02,32.16,NaN,NaN
1662336000,32.17,32.5,31.15,32.18,NaN,NaN
1662422400,32.17,33.9,30.44,30.88,NaN,NaN
1662508800,30.88,32.94,30.31,32.69,NaN,NaN
1662595200,32.7,33.98,31.97,33.61,NaN,NaN
1662681600,33.62,35.96,33.59,34.67,NaN,NaN
1662768000,34.68,35.41,34.27,35.03,NaN,NaN
1662854400,35.04,36,34.04,34.99,NaN,NaN
1662940800,34.99,38.39,34.4,37.44,NaN,NaN
1663027200,37.44,39.01,32.93,33,NaN,NaN
1663113600,33,34.35,32.67,34.12,NaN,NaN
1663200000,34.12,34.84,32.42,33.07,NaN,NaN
1663286400,33.08,33.26,31.5,32.25,NaN,NaN
1663372800,32.25,33.89,32.23,33.68,NaN,NaN
1663459200,33.69,33.99,30.86,31.1,NaN,NaN
