time,open,high,low,close,Volume,Volume MA
2023-04-23T08:00:00+08:00,21.79,21.8,21.44,21.58,NaN,NaN
2023-04-23T09:00:00+08:00,21.58,21.68,21.54,21.6,NaN,NaN
2023-04-23T10:00:00+08:00,21.6,21.66,21.54,21.64,NaN,NaN
2023-04-23T11:00:00+08:00,21.64,21.77,21.63,21.72,NaN,NaN
2023-04-23T12:00:00+08:00,21.71,21.92,21.68,21.87,NaN,NaN
2023-04-23T13:00:00+08:00,21.87,21.99,21.86,21.95,NaN,NaN
2023-04-23T14:00:00+08:00,21.96,21.99,21.87,21.89,NaN,NaN
2023-04-23T15:00:00+08:00,21.9,22.15,21.9,22.07,NaN,NaN
2023-04-23T16:00:00+08:00,22.07,22.21,22,22.16,NaN,NaN
2023-04-23T17:00:00+08:00,22.16,22.2,22.03,22.07,NaN,NaN
2023-04-23T18:00:00+08:00,22.07,22.17,21.92,21.96,NaN,NaN
2023-04-23T19:00:00+08:00,21.95,22.14,21.94,22.13,NaN,NaN
2023-04-23T20:00:00+08:00,22.13,22.25,22.06,22.07,NaN,NaN
2023-04-23T21:00:00+08:00,22.07,22.09,21.92,21.96,NaN,NaN
2023-04-23T22:00:00+08:00,21.96,21.99,21.7,21.79,NaN,NaN
2023-04-23T23:00:00+08:00,21.78,21.83,21.48,21.66,NaN,NaN
2023-04-24T00:00:00+08:00,21.65,21.69,21.25,21.51,NaN,NaN
2023-04-24T01:00:00+08:00,21.51,21.58,21.36,21.36,NaN,NaN
2023-04-24T02:00:00+08:00,21.36,21.38,20.91,21.11,NaN,NaN
2023-04-24T03:00:00+08:00,21.11,21.34,21.04,21.19,NaN,NaN
2023-04-24T04:00:00+08:00,21.19,21.34,21.09,21.25,NaN,NaN
2023-04-24T05:00:00+08:00,21.26,21.4,21.15,21.37,NaN,NaN
2023-04-24T06:00:00+08:00,21.38,21.55,21.26,21.48,NaN,NaN
2023-04-24T07:00:00+08:00,21.47,21.53,21.41,21.47,NaN,NaN
2023-04-24T08:00:00+08:00,21.47,21.8,21.26,21.74,NaN,NaN
2023-04-24T09:00:00+08:00,21.75,22.02,21.68,21.82,NaN,NaN
2023-04-24T10:00:00+08:00,21.82,21.89,21.74,21.8,NaN,NaN
2023-04-24T11:00:00+08:00,21.8,21.81,21.58,21.72,NaN,NaN
2023-04-24T12:00:00+08:00,21.72,21.73,21.58,21.66,NaN,NaN
2023-04-24T13:00:00+08:00,21.66,21.79,21.55,21.57,NaN,NaN
2023-04-24T14:00:00+08:00,21.57,21.64,21.26,21.37,NaN,NaN
2023-04-24T15:00:00+08:00,21.36,21.41,21.18,21.29,NaN,NaN
2023-04-24T16:00:00+08:00,21.28,21.43,21.13,21.23,NaN,NaN
2023-04-24T17:00:00+08:00,21.23,21.46,21.22,21.4,NaN,NaN
2023-04-24T18:00:00+08:00,21.4,21.61,21.39,21.59,NaN,NaN
2023-04-24T19:00:00+08:00,21.59,21.74,21.54,21.74,NaN,NaN
2023-04-24T20:00:00+08:00,21.73,21.79,21.55,21.58,NaN,NaN
2023-04-24T21:00:00+08:00,21.58,22,21.54,21.86,NaN,NaN
2023-04-24T22:00:00+08:00,21.85,21.92,21.5,21.64,NaN,NaN
2023-04-24T23:00:00+08:00,21.63,21.65,21.29,21.35,NaN,NaN
2023-04-25T00:00:00+08:00,21.34,21.45,21.07,21.13,NaN,NaN
2023-04-25T01:00:00+08:00,21.12,21.4,21,21.34,NaN,NaN
2023-04-25T02:00:00+08:00,21.34,21.56,21.31,21.36,NaN,NaN
2023-04-25T03:00:00+08:00,21.36,21.39,21.21,21.32,NaN,NaN
2023-04-25T04:00:00+08:00,21.32,21.48,21.26,21.31,NaN,NaN
2023-04-25T05:00:00+08:00,21.31,21.39,21.27,21.35,NaN,NaN
2023-04-25T06:00:00+08:00,21.35,21.46,21.32,21.36,NaN,NaN
2023-04-25T07:00:00+08:00,21.36,21.45,21.35,21.38,NaN,NaN
2023-04-25T08:00:00+08:00,21.39,21.46,21.18,21.21,NaN,NaN
2023-04-25T09:00:00+08:00,21.21,21.31,21.11,21.13,NaN,NaN
2023-04-25T10:00:00+08:00,21.14,21.19,21,21.08,NaN,NaN
2023-04-25T11:00:00+08:00,21.07,21.13,20.82,20.87,NaN,NaN
2023-04-25T12:00:00+08:00,20.88,21.16,20.86,21.06,NaN,NaN
2023-04-25T13:00:00+08:00,21.07,21.08,20.93,21.02,NaN,NaN
2023-04-25T14:00:00+08:00,21.03,21.13,20.97,20.98,NaN,NaN
2023-04-25T15:00:00+08:00,20.98,21.06,20.84,20.89,NaN,NaN
2023-04-25T16:00:00+08:00,20.88,21.03,20.73,21.02,NaN,NaN
2023-04-25T17:00:00+08:00,21.02,21.05,20.85,20.88,NaN,NaN
2023-04-25T18:00:00+08:00,20.88,20.93,20.81,20.89,NaN,NaN
2023-04-25T19:00:00+08:00,20.89,21.05,20.85,21,NaN,NaN
2023-04-25T20:00:00+08:00,21.01,21.06,20.88,21.01,NaN,NaN
2023-04-25T21:00:00+08:00,21,21.17,20.96,20.99,NaN,NaN
2023-04-25T22:00:00+08:00,20.99,21.08,20.76,20.91,NaN,NaN
2023-04-25T23:00:00+08:00,20.91,21.06,20.78,20.88,NaN,NaN
2023-04-26T00:00:00+08:00,20.87,21.01,20.77,21,NaN,NaN
2023-04-26T01:00:00+08:00,21,21.25,20.83,21.21,NaN,NaN
2023-04-26T02:00:00+08:00,21.21,21.3,21.1,21.12,NaN,NaN
2023-04-26T03:00:00+08:00,21.12,21.21,21.03,21.17,NaN,NaN
2023-04-26T04:00:00+08:00,21.18,21.54,21.16,21.49,NaN,NaN
2023-04-26T05:00:00+08:00,21.48,21.77,21.48,21.75,NaN,NaN
2023-04-26T06:00:00+08:00,21.75,21.85,21.61,21.7,NaN,NaN
2023-04-26T07:00:00+08:00,21.7,21.97,21.67,21.93,NaN,NaN
2023-04-26T08:00:00+08:00,21.94,22.08,21.81,21.82,NaN,NaN
2023-04-26T09:00:00+08:00,21.82,21.96,21.73,21.88,NaN,NaN
2023-04-26T10:00:00+08:00,21.88,21.9,21.79,21.83,NaN,NaN
2023-04-26T11:00:00+08:00,21.83,21.92,21.77,21.8,NaN,NaN
2023-04-26T12:00:00+08:00,21.81,21.98,21.81,21.87,NaN,NaN
2023-04-26T13:00:00+08:00,21.87,22.08,21.87,22.04,NaN,NaN
2023-04-26T14:00:00+08:00,22.04,22.17,21.88,22,NaN,NaN
2023-04-26T15:00:00+08:00,22,22.01,21.83,21.92,NaN,NaN
2023-04-26T16:00:00+08:00,21.93,22.24,21.92,22.22,NaN,NaN
2023-04-26T17:00:00+08:00,22.22,22.37,22.17,22.32,NaN,NaN
2023-04-26T18:00:00+08:00,22.33,22.63,22.27,22.52,NaN,NaN
2023-04-26T19:00:00+08:00,22.52,22.64,22.4,22.46,NaN,NaN
2023-04-26T20:00:00+08:00,22.46,22.94,22.45,22.91,NaN,NaN
2023-04-26T21:00:00+08:00,22.9,22.97,22.63,22.8,NaN,NaN
2023-04-26T22:00:00+08:00,22.8,22.82,22.49,22.63,NaN,NaN
2023-04-26T23:00:00+08:00,22.64,22.75,22.58,22.68,NaN,NaN
2023-04-27T00:00:00+08:00,22.67,22.81,22.61,22.77,NaN,NaN
2023-04-27T01:00:00+08:00,22.76,22.85,22.65,22.69,NaN,NaN
2023-04-27T02:00:00+08:00,22.7,22.81,22.67,22.69,NaN,NaN
2023-04-27T03:00:00+08:00,22.69,22.69,20.8,21.09,NaN,NaN
2023-04-27T04:00:00+08:00,21.09,21.46,20.36,21.46,NaN,NaN
2023-04-27T05:00:00+08:00,21.46,21.52,21.1,21.51,NaN,NaN
2023-04-27T06:00:00+08:00,21.51,21.54,21.05,21.21,NaN,NaN
2023-04-27T07:00:00+08:00,21.2,21.36,21.18,21.28,NaN,NaN
2023-04-27T08:00:00+08:00,21.28,22.08,21.18,21.96,NaN,NaN
2023-04-27T09:00:00+08:00,21.95,22.07,21.47,21.55,NaN,NaN
2023-04-27T10:00:00+08:00,21.55,21.81,21.55,21.73,NaN,NaN
2023-04-27T11:00:00+08:00,21.73,21.74,21.54,21.63,NaN,NaN
2023-04-27T12:00:00+08:00,21.62,21.93,21.6,21.89,NaN,NaN
2023-04-27T13:00:00+08:00,21.89,22,21.82,21.85,NaN,NaN
2023-04-27T14:00:00+08:00,21.85,21.87,21.51,21.67,NaN,NaN
2023-04-27T15:00:00+08:00,21.67,21.75,21.56,21.68,NaN,NaN
2023-04-27T16:00:00+08:00,21.67,21.77,21.53,21.6,NaN,NaN
2023-04-27T17:00:00+08:00,21.61,21.7,21.53,21.58,NaN,NaN
2023-04-27T18:00:00+08:00,21.57,21.7,21.52,21.64,NaN,NaN
2023-04-27T19:00:00+08:00,21.64,21.75,21.56,21.65,NaN,NaN
2023-04-27T20:00:00+08:00,21.64,21.76,21.31,21.51,NaN,NaN
2023-04-27T21:00:00+08:00,21.52,21.67,21.51,21.65,NaN,NaN
2023-04-27T22:00:00+08:00,21.64,21.89,21.64,21.82,NaN,NaN
2023-04-27T23:00:00+08:00,21.83,22.46,21.82,22.25,NaN,NaN
2023-04-28T00:00:00+08:00,22.25,22.43,22.04,22.1,NaN,NaN
